message,concepts
"(1, 1, 1, 0)","[(1, 2, 0), (1, 7, 1), (1, 3, 2), (1, 2, 0), (1, 3, 3), (1, 5, '?'), (1, 0, 4), (1, 0, 1), (1, '?', '?'), (1, 3, 2), (1, '?', '?'), (1, 0, 7), (1, 2, 6), (1, 4, 7), (1, 0, 7), (1, 1, 4), (1, 0, 7), (1, 2, 2), (1, 7, 1), (1, 0, 1), (1, 5, 4), (1, 5, 0), (1, '?', 6), (1, '?', 0), (1, 3, 3), (1, 6, 7), (1, 3, '?'), (1, 7, 3), (1, 2, 5), (1, '?', 4), (1, 2, '?'), (1, 5, 0), (1, 3, 3), (1, 0, 4), (1, '?', 4), (1, 6, 0), (1, 7, 4), (1, 1, 5), (1, 5, 5), (1, 6, 7), (1, 6, 1), (1, 5, 0), (1, 4, 1), (1, 6, 7), (1, 2, 2), (1, 5, 3), (1, 4, 1), (1, 2, 7), (1, 1, 5), (1, 3, 3), (1, 6, 1), (1, 6, '?'), (1, 1, 5), (1, 4, 7), (1, 7, 0), (1, 6, 1), (1, 2, 2), (1, 1, 4), (1, 3, 4), (1, 4, 7), (1, 0, 7), (1, 1, 3), (1, 3, 0), (1, 6, '?'), (1, 3, '?'), (1, '?', 4), (1, 6, 2), (1, 7, 7), (1, 7, 0), (1, 3, 6), (1, 0, 1), (1, 2, 4), (1, 3, 7), (1, 5, 6), (1, 6, 5), (1, 1, 6), (1, 4, 4), (1, 4, 7), (1, 2, 5), (1, 2, 6), (1, 6, '?'), (1, 1, 0), (1, '?', 5), (1, 1, 3), (1, 7, 1), (1, 1, 3), (1, '?', 6), (1, 7, 4), (1, 7, 6), (1, 3, 4), (1, '?', '?'), (1, 5, '?'), (1, 7, 1), (1, 1, 5), (1, 6, '?'), (1, 3, 3), (1, 1, 7), (1, 2, 0), (1, '?', 3), (1, 2, 3), (1, '?', 2), (1, 6, 0), (1, 6, 2), (1, 5, '?'), (1, 7, 4), (1, 2, 7), (1, 4, '?'), (1, 3, 0), (1, 3, 1), (1, 2, 0), (1, 2, 5), (1, 6, 2), (1, 3, 4), (1, 1, 4), (1, 5, 0), (1, 6, 0), (1, 7, 3), (1, 2, 1), (1, 2, 7), (1, 2, 0), (1, 5, 3), (1, 3, 4), (1, 6, 7), (1, '?', '?'), (1, 6, '?'), (1, 0, 0), (1, 5, 3), (1, 4, 3), (1, 7, 1), (1, 4, 3), (1, 5, 0), (1, 2, 3), (1, 5, 7), (1, 7, 3), (1, 6, 5), (1, 5, 7), (1, '?', 3), (1, 3, 1), (1, 5, '?'), (1, 0, 1), (1, 1, 5), (1, 7, 0), (1, '?', 6), (1, '?', 2), (1, 7, 1), (1, 4, 4), (1, 5, 7), (1, 5, 3), (1, 4, 4), (1, 4, 3), (1, 2, 7), (1, 4, '?'), (1, 1, 6), (1, 2, '?'), (1, 7, 6), (1, 5, 5), (1, 6, 6), (1, 0, '?'), (1, 6, 7), (1, '?', 4), (1, 2, 3), (1, '?', 0), (1, 1, 4), (1, 0, 4), (1, '?', 3), (1, 6, 6), (1, 2, '?'), (1, 3, 6), (1, 6, 7), (1, 3, 4), (1, 7, 7), (1, '?', 3), (1, 0, 5), (1, 5, '?'), (1, '?', 5), (1, 1, 7), (1, '?', 6), (1, 6, 5), (1, 3, 1), (1, 7, 2), (1, 7, 4), (1, 0, 7), (1, 6, 7), (1, 3, 0), (1, 7, 0), (1, 6, 1), (1, 0, 5), (1, 0, 1), (1, 4, 4), (1, 3, 3), (1, 3, 3), (1, 7, 6), (1, 1, 0), (1, 4, 1), (1, 4, 3), (1, 7, 4), (1, 6, 6), (1, 7, 3), (1, 1, 3), (1, 2, 4), (1, 2, '?'), (1, 0, '?'), (1, 6, 6), (1, 2, 4), (1, 3, 2), (1, 5, '?'), (1, '?', 4), (1, 2, 5), (1, '?', 4), (1, 0, 4), (1, 7, 4), (1, 3, '?'), (1, 7, 0), (1, '?', '?'), (1, 1, 5), (1, 2, 6), (1, '?', 5), (1, 4, 3), (1, 5, 4), (1, 5, 5), (1, 6, 5), (1, 5, 0), (1, 6, 6), (1, 3, 6), (1, 7, 3), (1, 3, 3), (1, 3, '?'), (1, 7, 7), (1, 7, 3), (1, 7, 0), (1, '?', 3), (1, 1, 0), (1, 6, 7), (1, 5, 4), (1, 3, '?'), (1, 6, 7), (1, 3, 4), (1, '?', 0), (1, 2, 0), (1, 4, '?'), (1, 5, '?'), (1, 0, 7), (1, 5, '?'), (1, 2, 7), (1, 5, 5), (1, 1, 5), (1, 3, 6), (1, 5, 5), (1, 3, 0), (1, 6, 2), (1, 5, '?'), (1, '?', '?'), (1, 3, 0), (1, '?', 3), (1, 4, 7), (1, 5, 4), (1, 6, '?'), (1, 6, 0), (1, 6, 0), (1, '?', 3), (1, '?', 2), (1, 7, 0), (1, 4, '?'), (1, 7, 7), (1, 4, 1), (1, 4, 4), (1, 7, 6), (1, 3, 0), (1, 2, 2), (1, 1, 4), (1, 3, '?'), (1, 6, 4), (1, 2, 1), (1, 2, 4), (1, 3, 4), (1, 5, 5), (1, '?', 4), (1, 6, 2), (1, 4, 3), (1, 5, 6), (1, 5, 3), (1, 1, 7), (1, 5, 6), (1, 6, 1), (1, '?', 6), (1, 1, 4), (1, '?', 7), (1, 2, 4), (1, 0, 4), (1, 7, 0), (1, '?', 2), (1, '?', 5), (1, '?', 4), (1, 6, 4), (1, 7, 7), (1, 6, 2), (1, '?', 5), (1, 6, 1), (1, '?', 2), (1, 0, 7), (1, 7, 3), (1, 0, 5), (1, 3, 1), (1, 6, 0), (1, 6, 0), (1, 4, 3), (1, 5, 6), (1, 6, 0), (1, 0, 4), (1, 6, 2), (1, 0, '?'), (1, 0, '?'), (1, 5, 7), (1, 5, 4), (1, 0, '?'), (1, 2, 6), (1, 2, 5), (1, 2, 1), (1, 5, 0), (1, 4, 3), (1, 4, 1), (1, 3, 7), (1, '?', '?'), (1, 5, 4), (1, 2, 6), (1, 3, 1), (1, 3, 7), (1, 0, 1), (1, 3, 1), (1, '?', 3), (1, 5, 7), (1, 3, 2), (1, 2, 1), (1, 2, 2), (1, 1, 7), (1, 5, 4), (1, 4, 4), (1, 6, 1), (1, 3, '?'), (1, 6, 5), (1, 5, 4), (1, 1, 4), (1, 7, 6), (1, 6, 2), (1, 2, '?'), (1, 5, 5), (1, 6, 7), (1, 2, '?'), (1, 4, '?'), (1, '?', 6), (1, '?', 7), (1, 3, 0), (1, 4, '?'), (1, '?', 0), (1, 3, 2), (1, 2, 1), (1, '?', 7), (1, 5, 0), (1, 6, 6), (1, 5, 0), (1, 6, 1), (1, 2, 3), (1, 6, 4), (1, 4, 4), (1, 3, 7), (1, 0, 1), (1, 1, 0), (1, '?', '?'), (1, 1, 3), (1, 1, 3), (1, 2, 5), (1, '?', 5), (1, 2, 3), (1, 7, 2), (1, 4, 7), (1, 5, 5), (1, 6, '?'), (1, 3, 7), (1, 2, 5), (1, 2, 3), (1, 7, 4), (1, '?', 6), (1, '?', 7), (1, 2, '?'), (1, 5, 6), (1, '?', 2), (1, 2, 7), (1, '?', 7), (1, 1, 7), (1, 0, 0), (1, 1, 7), (1, 3, 2), (1, 2, '?'), (1, 3, 6), (1, 4, '?'), (1, 6, 5), (1, 4, 4), (1, 2, 2), (1, 7, 1), (1, 5, 0), (1, 2, 1), (1, 0, 4), (1, '?', 7), (1, 7, 6), (1, 6, 4), (1, '?', 3), (1, 4, 1), (1, 3, '?'), (1, 0, 1), (1, 7, 2), (1, 3, 6), (1, 6, 2), (1, 2, 4), (1, 6, 1), (1, 3, 7), (1, 3, 2), (1, 7, 6), (1, 6, 0), (1, '?', 6), (1, 7, 0), (1, 5, 5), (1, 4, '?'), (1, 4, 4), (1, 5, 4), (1, '?', 0), (1, 3, 4), (1, 6, 6), (1, 6, 2), (1, 5, 6), (1, 7, 1), (1, '?', 5), (1, 7, 6), (1, 2, 7), (1, 1, 6), (1, 3, 1), (1, 0, 7), (1, '?', 0), (1, 1, 7), (1, 5, 3), (1, 4, 1), (1, 5, 7), (1, 1, 7), (1, 0, '?'), (1, 3, 6), (1, 6, '?'), (1, 2, 6), (1, 2, 4), (1, 2, 7), (1, 2, 3), (1, 7, 7), (1, 1, 6), (1, 1, 5), (1, '?', '?'), (1, '?', 2), (1, 0, 5)]"
"(1, 1, 16, 0)","[(1, 0, 4), (1, 0, 5), (1, 0, 0)]"
"(1, 7, 1, 0)","[(1, 5, 6), (1, 5, 3), (1, 5, 6), (1, 5, 7), (1, 5, 3), (1, 5, 7)]"
"(1, 16, 1, 0)","[(1, 0, 5)]"
"(1, 16, 16, 0)","[(1, 0, 0)]"
"(2, 2, 2, 0)","[(7, '?', 7), (7, 0, 1), (7, '?', 1), (7, 2, 2), (7, 1, 4), (7, 4, 2), (7, '?', '?'), (7, '?', 5), (7, 2, 3), (7, '?', '?'), (7, 1, '?'), (7, 6, 6), (7, 1, 7), (7, 1, 3), (7, 4, '?'), (7, 6, 0), (7, 7, '?'), (7, 4, 2), (7, 6, 6), (7, 4, 5), (7, '?', 7), (7, 1, 7), (7, 6, 7), (7, 1, 4), (7, 7, 7), (7, 2, 2), (7, '?', 2), (7, '?', 5), (7, '?', 1), (7, 1, 6), (7, 6, 2), (7, 2, 5), (7, 2, 2), (7, 1, 7), (7, '?', 6), (7, 1, '?'), (7, 7, 5), (7, '?', 2), (7, 6, 2), (7, 1, '?'), (7, '?', '?'), (7, 7, 1), (7, 2, 5), (7, '?', 1), (7, 7, 6), (7, 2, 2), (7, 0, 1), (7, 2, 4), (7, 2, 3), (7, 7, 2), (7, 4, 7), (7, 2, 5), (7, 2, 1), (7, 2, 7), (7, '?', 2), (7, 7, 6), (7, '?', 1), (7, 4, 7), (7, 2, 1), (7, '?', 7), (7, 1, 1), (7, 6, 5), (7, '?', 2), (7, '?', 3), (7, 6, 0), (7, 7, 3), (7, 2, 4), (7, 2, 3), (7, 6, 3), (7, 6, 2), (7, 7, '?'), (7, 7, '?'), (7, 2, 1), (7, '?', 6), (7, 4, 7), (7, 7, 6), (7, 0, 1), (7, 7, 6), (7, '?', 7), (7, 2, 4), (7, 2, '?'), (7, 1, 2), (7, 6, 4), (7, '?', 5), (7, 2, '?'), (7, 6, 0), (7, 7, 7), (7, '?', 4), (7, 6, 2), (7, 1, 6), (7, 7, 7), (7, 1, 1), (7, 2, 3), (7, 7, '?'), (7, 1, 2), (7, 7, 3), (7, 6, 3), (7, 4, 4), (7, 1, 1), (7, 7, 0), (7, 2, 1), (7, 7, '?'), (7, 6, 2), (7, 4, 4), (7, 7, 2), (7, 7, '?'), (7, 7, '?'), (7, 2, 2), (7, 2, 7), (7, 7, 7), (7, 4, 3), (7, '?', 3), (7, 0, 1), (7, 6, 3), (7, 4, 5), (7, 4, 2), (7, 7, 2), (7, 1, '?'), (7, 1, '?'), (7, 6, '?'), (7, '?', '?'), (7, '?', '?'), (7, 7, 2), (7, 2, 0), (7, 2, 1), (7, 7, 5), (7, 6, 7), (7, 6, 2), (7, 4, 2), (7, 1, 7), (7, 6, 7), (7, 6, '?'), (7, 6, 6), (7, 1, 2), (7, 7, 6), (7, 4, 2), (7, 7, 1), (7, 7, 0), (7, 4, 4), (7, 1, 2), (7, '?', '?'), (7, 2, 2), (7, 2, '?'), (7, 7, 0), (7, 6, 3), (7, 0, 1), (7, 4, 4), (7, 6, 5), (7, 1, 6), (7, 7, 3), (7, 4, 7), (7, 1, 4), (7, 6, 5), (7, '?', 4), (7, 1, 2), (7, 1, 3), (7, '?', 6), (7, 6, 3), (7, 2, 0), (7, 2, 3), (7, 0, 1), (7, 6, 3), (7, 7, 0), (7, 2, 3), (7, 2, 2), (7, 4, 7), (7, 7, 5), (7, 6, 0), (7, '?', 5), (7, 1, 2), (7, 7, 7), (7, 6, 0), (7, '?', 6), (7, 4, 3), (7, 1, 4), (7, '?', 3), (7, 1, 1), (7, 1, 6), (7, 1, '?'), (7, 2, 5), (7, 4, '?'), (7, 1, 6), (7, 2, 4), (7, 6, 5), (7, 6, 5), (7, 7, 3), (7, '?', 2), (7, 1, 2), (7, '?', 3), (7, 7, 6), (7, 7, 1), (7, 4, 7), (7, '?', 6), (7, 6, '?'), (7, 7, 3), (7, 7, 6), (7, 1, 7), (7, 6, 2), (7, 4, 4), (7, 1, '?'), (7, 7, 3), (7, 1, 4), (7, '?', 7), (7, 6, '?'), (7, 2, 7), (7, 7, 1), (7, 7, 1), (7, 7, 5), (7, 1, 6), (7, '?', '?'), (7, 1, '?'), (7, 2, '?'), (7, 4, 5), (7, 7, 6), (7, 2, 4), (7, 6, 6), (7, 2, 0), (7, 1, 7), (7, 4, 5), (7, 6, '?'), (7, 4, 3), (7, 1, 4), (7, 7, 3), (7, 1, 3), (7, 6, 6), (7, 7, 2), (7, '?', 1), (7, 6, 3), (7, 2, 4), (7, 1, 4), (7, 4, '?'), (7, 4, 2), (7, '?', 5), (7, '?', '?'), (7, 1, 1), (7, 2, 7), (7, 6, 3), (7, 2, 3), (7, 2, 4), (7, 4, '?'), (7, 7, 1), (7, '?', 1), (7, 4, 5), (7, '?', 5), (7, '?', 5), (7, 6, 0), (7, '?', 3), (7, '?', 5), (7, 2, 3), (7, 2, 3), (7, 6, '?'), (7, 7, '?'), (7, 2, '?'), (7, 6, 7), (7, 1, 7), (7, 4, '?'), (7, 6, '?'), (7, 0, 1), (7, 4, 2), (7, 6, 6), (7, 2, 1), (7, 2, 4), (7, '?', 4), (7, '?', 4), (7, '?', 5), (7, 7, 6), (7, 4, '?'), (7, 2, 7), (7, 1, 3), (7, 2, 7), (7, 2, 0), (7, 2, 7), (7, 1, 6), (7, 6, 6), (7, 4, 5), (7, 4, 2), (7, 6, 0), (7, 1, 1), (7, 1, 1), (7, 2, 7), (7, 4, '?'), (7, 2, 0), (7, 2, 7), (7, '?', 7), (7, 6, 5), (7, 2, 2), (7, '?', 1), (7, 6, 3), (7, 2, 0), (7, 7, '?'), (7, 7, 1), (7, 6, 5), (7, 4, 3), (7, '?', 7), (7, 6, 7), (7, 4, 3), (7, 1, '?'), (7, 4, 3), (7, 1, 1), (7, '?', '?'), (7, 6, 7), (7, 4, 3), (7, 2, 4), (7, 7, 2), (7, 1, 3), (7, 4, 3), (7, 1, 1), (7, 7, 0), (7, '?', 4), (7, 2, 5), (7, 1, 4), (7, 6, 4), (7, 2, 3), (7, '?', 2), (7, 4, 4), (7, '?', 1), (7, 1, 2), (7, 6, 2)]"
"(2, 2, 7, 0)","[(7, 7, 7)]"
"(2, 7, 2, 0)","[(7, 7, 5), (7, 7, 7), (7, 7, 7), (7, 7, 7)]"
"(2, 7, 7, 0)","[(7, 5, 0)]"
"(2, 19, 2, 0)","[(7, 6, 3), (7, 6, 4)]"
