message,concepts
"(2, 2, 2, 2, 0)","[('?', 3, 0, 1), ('?', 3, 0, 1), (0, 3, '?', 1), (2, 3, '?', 1), (3, 0, 1, 1), ('?', '?', 1, 1), (1, 3, 0, 1), ('?', '?', '?', 1), (3, 0, 0, 1), (0, 0, '?', 1), ('?', 1, '?', 1), ('?', '?', 1, 1), (0, 0, 3, 1), (0, 1, 0, 1), ('?', 1, 0, 1), ('?', '?', 0, 1), (3, '?', 0, 1), (0, 0, 0, 1), ('?', 0, 0, 1), (2, 3, 0, 1), ('?', 2, '?', 1), (2, 2, 0, 1), (0, 2, '?', 1), (3, 0, 1, 1), (0, 1, 0, 1), (0, 3, 0, 1), (3, 0, 0, 1), (0, 1, '?', 1), (0, 2, 0, 1), (0, '?', 1, 1), (0, 3, 0, 1), ('?', 0, 1, 1), ('?', 3, 1, 1), (0, 2, 3, 1), (0, 3, 0, 1), (1, 2, 0, 1), (2, 3, '?', 1), (3, 1, 0, 1), (2, 3, 0, 1), (3, 2, 0, 1), (0, '?', 0, 1), (3, 2, 0, 1), ('?', 0, 0, 1), (3, 0, 0, 1), (2, 2, 0, 1), (0, 1, 0, 1), ('?', '?', '?', 1), (0, 0, 3, 1), (3, '?', 1, 1), (3, 1, '?', 1), ('?', 3, 1, 1), ('?', 1, 0, 1), (0, 0, 1, 1), (0, 0, 0, 1), (2, 3, '?', 1), (3, '?', 0, 1), (0, 3, 0, 1), ('?', 2, '?', 1), (0, 3, 0, 1), (0, 1, 0, 1), ('?', 0, 0, 1), ('?', '?', '?', 1), (2, 3, '?', 1), ('?', '?', 0, 1), (0, 2, '?', 1), (0, 0, 3, 1), (0, 0, '?', 1), (0, 0, 3, 1), (0, '?', 0, 1), (2, 3, 0, 1), (3, 3, 0, 1), (3, 1, 0, 1), (2, 3, '?', 1), (0, '?', 1, 1), ('?', 1, 0, 1), (3, 1, 0, 1), ('?', 1, '?', 1), (2, 2, '?', 1), ('?', '?', 0, 1), (2, 3, 0, 1), (0, 0, '?', 1), ('?', '?', 1, 1), (0, 2, '?', 1), (0, 2, 1, 1), ('?', 2, '?', 1), (1, 2, 0, 1), (2, 2, '?', 1), ('?', 2, '?', 1), (3, 2, 0, 1), (0, '?', 1, 1), (3, 2, 1, 1), (0, 3, '?', 1), ('?', 0, 3, 1), ('?', 2, '?', 1), ('?', '?', 3, 1), ('?', 0, 1, 1), (0, 0, 0, 1), ('?', 0, 0, 1), ('?', 2, '?', 1), (3, 0, 0, 1), (0, 0, '?', 1), (3, '?', 0, 1), ('?', 2, 1, 1), (3, '?', 0, 1), ('?', '?', '?', 1), (3, 1, '?', 1), ('?', 0, 3, 1), (0, '?', 3, 1), (3, 1, 0, 1), (0, 2, 0, 1), (2, 2, '?', 1), (0, 2, 1, 1), (0, 1, '?', 1), (0, 1, 0, 1), (0, '?', 3, 1), (2, 3, 0, 1), ('?', 2, 1, 1), (0, '?', 0, 1), ('?', '?', 0, 1), (2, 3, 1, 1), ('?', 3, 0, 1), ('?', 3, 1, 1), (0, 0, '?', 1), (0, 1, 0, 1), (0, 2, 1, 1), (0, 3, '?', 1), ('?', '?', 1, 1), (0, '?', 1, 1), (1, '?', 0, 1), (0, 0, '?', 1), ('?', 2, 1, 1), (0, '?', 1, 1), ('?', 2, 1, 1), (3, 3, 1, 1), ('?', '?', '?', 1), (0, 3, '?', 1), (0, 3, 2, 1), (0, 0, 1, 1), (0, 3, '?', 1), (3, '?', 0, 1), (3, 2, 0, 1), (0, 2, 1, 1), (2, 2, 0, 1), (0, 0, 0, 1), (2, 3, '?', 1), (3, '?', 0, 1), (0, 2, 0, 1), (0, '?', 1, 1), ('?', 2, '?', 1), (0, 0, 1, 1), ('?', 3, 1, 1), (0, '?', 1, 1), (3, '?', 1, 1), ('?', 2, 1, 1), (0, 0, 3, 1), (0, 2, 3, 1), (3, 1, 0, 1), (0, 2, 1, 1), ('?', '?', '?', 1), (3, '?', 1, 1), ('?', '?', 0, 1), (1, '?', 0, 1), (0, '?', 3, 1), ('?', 1, 0, 1), ('?', 3, 0, 1), (0, 3, 0, 1), (0, 2, '?', 1), (0, '?', 0, 1), (3, 1, 0, 1), (0, 0, '?', 1), (3, '?', '?', 1), ('?', 0, 3, 1), (3, 0, 1, 1), ('?', 2, '?', 1), (0, '?', 1, 1), (3, '?', 1, 1), (0, 2, 1, 1), ('?', '?', '?', 1), (2, 3, 1, 1), (0, 2, 3, 1), (1, 2, 0, 1), (0, 2, 0, 1), (0, 1, '?', 1), (1, 2, 0, 1), (2, 2, '?', 1), (3, 1, 0, 1), (2, 2, 0, 1), (0, 1, '?', 1), (3, 3, 1, 1), (0, 0, 0, 1), (0, 0, 3, 1), ('?', 0, 0, 1), (0, 2, 0, 1), (3, 0, 0, 1), (0, 2, 0, 1), ('?', 1, 0, 1), (0, 2, 3, 1), (2, 3, 1, 1), (3, 2, 0, 1), (3, 3, 1, 1), ('?', '?', 1, 1), ('?', 1, '?', 1), (3, '?', 1, 1), (0, 3, 0, 1), (0, 0, 0, 1), (0, 0, 0, 1), (2, 3, '?', 1), (3, 3, 0, 1), ('?', '?', 1, 1), (0, 2, 1, 1), ('?', 0, 1, 1), (0, '?', 0, 1), ('?', '?', 1, 1), (2, 3, 0, 1), (0, 2, 1, 1), ('?', 2, 3, 1), (2, 3, '?', 1), (0, '?', 3, 1), (3, '?', 1, 1), (1, '?', 0, 1), ('?', 3, 0, 1), ('?', 2, 1, 1), (0, 2, '?', 1), (0, 1, 0, 1), ('?', '?', '?', 1), (1, 2, 0, 1), ('?', '?', 0, 1), ('?', 3, 0, 1), (0, 2, '?', 1), ('?', 0, 1, 1), (0, 1, 0, 1), (3, 3, 0, 1), (0, 0, 0, 1), (0, 2, 0, 1), (2, 2, 0, 1), (3, 3, 0, 1), ('?', 1, '?', 1), ('?', 2, 1, 1), (3, '?', 1, 1), (0, '?', 0, 1), (0, 1, '?', 1), (1, 3, 0, 1), (3, 2, 0, 1), (0, 2, 3, 1), (0, 0, 3, 1), ('?', 0, 3, 1), (3, 3, 0, 1), (3, 3, 0, 1), (3, 3, 1, 1), ('?', 0, 0, 1), (3, 2, 1, 1), ('?', 1, 0, 1), (3, 1, 0, 1), (0, 0, 1, 1), ('?', 3, 1, 1), (2, 2, 0, 1), (3, 2, 0, 1), (2, 3, 1, 1), (0, 1, 0, 1), (0, 0, 1, 1), (0, 3, 3, 1), (0, '?', 0, 1), (3, '?', 1, 1), (3, 3, 0, 1), (3, 3, 1, 1), ('?', '?', 0, 1), (0, '?', 0, 1), (0, 3, 3, 1), ('?', 3, 0, 1), (3, 3, 0, 1), (2, 2, 0, 1), (0, '?', 3, 1), (3, 3, 1, 1), (0, 0, '?', 1), (3, 1, '?', 1), (3, '?', 0, 1), (1, 2, 0, 1), ('?', 0, 1, 1), (0, 3, '?', 1), (3, 2, 1, 1), ('?', 2, '?', 1), ('?', 3, 0, 1), (2, 2, 0, 1), ('?', 0, 3, 1), (2, 2, 0, 1), (3, 0, 0, 1), (0, 0, 1, 1), ('?', 1, 0, 1), ('?', 2, 1, 1), (3, '?', 0, 1), (0, 2, '?', 1), (3, '?', 0, 1)]"
"(2, 2, 2, 6, 0)","[(3, '?', 1, 1), (3, 0, 1, 1), (3, 2, 1, 1), ('?', 0, 1, 1), ('?', 3, 1, 1), (3, 0, 1, 1), ('?', 0, 1, 1), ('?', '?', 1, 1), (2, 3, 1, 1), (3, 0, 1, 1), (3, 0, 1, 1), (3, 2, 1, 1), (3, 0, 1, 1), (3, 2, 1, 1), (3, 2, 1, 1)]"
"(2, 2, 2, 7, 0)","[(0, 0, 2, 1)]"
"(2, 2, 2, 8, 0)","[('?', 1, '?', 1)]"
"(2, 2, 2, 13, 0)","[(1, 0, 0, 1), (1, 0, 0, 1), (1, '?', 0, 1), (1, 3, 0, 1), (1, 3, 0, 1), (1, '?', 0, 1), (1, 2, 0, 1)]"
"(2, 2, 6, 2, 0)","[(3, '?', 1, 1), (3, 3, 1, 1), (3, 0, 1, 1), (3, 2, 1, 1)]"
"(2, 2, 6, 6, 0)","[(3, 2, 1, 1)]"
"(2, 2, 7, 7, 0)","[(0, 2, 2, 1), (0, 2, 2, 1)]"
"(2, 2, 8, 2, 0)","[('?', 1, '?', 1)]"
"(2, 2, 12, 2, 0)","[(2, 3, 1, 1)]"
