message,concepts
"(2, 2, 10, 12, 0)","[(0, '?', 1, 1)]"
"(2, 4, 4, 4, 0)","[('?', 1, '?', '?'), ('?', 1, '?', 2), ('?', 1, '?', '?'), ('?', 1, '?', 1), ('?', 1, '?', 2), ('?', 1, '?', '?'), ('?', 1, '?', 1), ('?', 1, '?', 2), ('?', 1, '?', '?'), ('?', 1, '?', '?'), ('?', 1, '?', 2), ('?', 1, '?', 1), ('?', 1, '?', '?'), ('?', 1, '?', '?'), ('?', 1, '?', 1), ('?', 1, '?', 2), ('?', 1, '?', '?'), ('?', 1, '?', 2), ('?', 1, '?', 2), ('?', 1, '?', 1), ('?', 1, '?', '?'), ('?', 1, '?', 1), ('?', 1, '?', 1)]"
"(2, 4, 4, 12, 0)","[('?', 1, 1, 2), ('?', 1, 1, 3)]"
"(2, 4, 12, 12, 0)","[('?', 1, 1, 3), ('?', 1, 1, 3), ('?', 1, 1, 1), ('?', 1, 1, 2), ('?', 1, 1, 2), ('?', 1, 1, 0), ('?', 1, 1, 0), ('?', 1, 1, 0), ('?', 1, 1, 1), ('?', 1, 1, 1), ('?', 1, 1, 1), ('?', 1, 1, 2), ('?', 1, 1, 2), ('?', 1, 1, 1), ('?', 1, 1, 2), ('?', 1, 1, 2), ('?', 1, 1, 0), ('?', '?', 1, 2), ('?', 1, 1, 2), ('?', 1, 1, 3), ('?', 1, 1, 3), ('?', 1, 1, 0), ('?', 1, 1, 1), ('?', 3, 1, '?'), ('?', 1, 1, 3), ('?', 1, 1, 0)]"
"(2, 5, 5, 5, 0)","[('?', 3, 3, 2), ('?', 3, 3, 1), ('?', 3, 3, 2), ('?', 3, '?', 0), ('?', 3, 3, 2), ('?', 3, '?', 2), ('?', 3, 3, '?'), ('?', 3, '?', 3), ('?', 3, 3, 3), ('?', 3, '?', '?'), ('?', 3, 3, 2), ('?', 3, '?', 3), ('?', 3, 3, 3), ('?', 3, 3, 0), ('?', 3, 3, 3), ('?', 3, 3, 3), ('?', 3, 3, '?'), ('?', 3, 3, 0), ('?', 3, 3, 1), ('?', 3, '?', '?'), ('?', 3, '?', 2), (2, 3, 3, '?'), ('?', 3, 3, 3), ('?', 3, 3, 2), ('?', 3, '?', 3), ('?', 3, 3, '?'), ('?', 3, 3, '?'), ('?', 3, '?', 2), ('?', 3, 3, 2), ('?', 3, 3, 3), ('?', 3, 3, '?'), ('?', 3, 3, '?'), ('?', 3, '?', 0), ('?', 3, 3, 0), ('?', 3, 3, 3), (2, 3, 3, '?'), ('?', 3, '?', 3), ('?', 3, '?', 3), ('?', 3, 3, 1), ('?', 3, 3, '?'), ('?', 3, 3, 2), ('?', 3, 0, 1), ('?', 3, 3, 3), ('?', 3, '?', 0), ('?', 3, '?', 3), (2, 3, 3, '?'), ('?', 3, '?', 3), ('?', 3, '?', 1), ('?', 3, 3, 1), ('?', 3, 3, 1), ('?', 3, 3, 1), ('?', 3, 3, 2), ('?', 3, '?', 3), ('?', 3, '?', 2), ('?', 3, 3, 1)]"
"(2, 6, 12, 12, 0)","[('?', 3, 1, 0), ('?', '?', 1, 0), ('?', '?', 1, 0)]"
"(2, 7, 1, 1, 0)","[(1, 0, 0, 0)]"
"(2, 7, 1, 4, 0)","[('?', 0, 0, 3), ('?', 0, 0, 2), (1, 0, 0, 0), ('?', 0, 0, '?'), ('?', '?', 0, 3), ('?', 1, 0, '?'), ('?', 0, 0, 3), ('?', 1, 0, 2), ('?', '?', 0, '?'), ('?', 1, 0, 2), ('?', 1, 0, 2), ('?', '?', 0, 3), ('?', 0, 0, 1), ('?', '?', 0, 1), ('?', '?', 0, 1), ('?', 1, 0, '?'), ('?', 0, 0, 1), ('?', 1, 0, 2), ('?', '?', 0, '?'), ('?', 0, 0, '?'), ('?', 0, 0, 3), ('?', 1, 0, 3), ('?', 1, 0, 3), ('?', '?', 0, 1), ('?', '?', 0, '?'), ('?', 1, 0, 3), ('?', 1, 0, 2), (1, 0, 0, 0), (1, 0, 0, 0), ('?', 1, 0, '?'), ('?', 1, 0, '?'), ('?', '?', 0, 3), ('?', 0, 0, 1), ('?', '?', 0, 1), ('?', 0, 0, 1), ('?', 0, 0, 3), ('?', '?', 0, 3), ('?', 0, 0, 1), ('?', 0, 0, 2), ('?', '?', 0, 1), ('?', 0, 0, 2), ('?', '?', 0, 3), ('?', 1, 0, '?'), ('?', 0, 0, '?'), ('?', 0, 0, 2), ('?', 1, 0, 3), ('?', '?', 0, 1), ('?', 0, 0, 1), ('?', 1, 0, 2), ('?', 1, 0, '?'), ('?', 0, 0, '?'), (3, 0, 0, 3), ('?', 1, 0, '?'), ('?', 1, 0, '?'), (1, 0, 0, 0), (1, 0, 0, 0), ('?', 1, 0, 2), ('?', '?', 0, '?')]"
"(2, 7, 1, 10, 0)","[(0, 0, 0, 3)]"
"(2, 7, 1, 14, 0)","[(1, 0, 0, 0)]"
"(2, 7, 1, 15, 0)","[(3, 0, 0, 1)]"
"(2, 7, 4, 15, 0)","[(3, 1, 0, 1)]"
"(2, 7, 5, 5, 0)","[('?', 3, 0, 0)]"
"(2, 7, 7, 1, 0)","[('?', 1, 0, 0), ('?', 1, 0, 0)]"
"(2, 7, 7, 4, 0)","[(1, 0, 0, 0), ('?', 1, 0, 3), ('?', 1, 0, 3), ('?', 1, 0, 3), ('?', 1, 0, 3), ('?', '?', 0, 3)]"
"(2, 7, 7, 7, 0)","[('?', 1, '?', 0), ('?', 1, 3, 0), (1, 1, 0, 0), (1, 1, 0, 0), ('?', 1, 3, 0), (1, 1, 0, 0), ('?', '?', '?', 0), ('?', 1, 3, 0), ('?', 1, 0, 0), ('?', 1, '?', 0), ('?', 1, 0, 0), ('?', '?', 0, 0), ('?', 1, 3, 0), ('?', 1, '?', 0), ('?', 1, '?', 0), ('?', '?', '?', 0)]"
"(2, 7, 7, 14, 0)","[('?', 1, 0, 0)]"
"(2, 7, 14, 7, 0)","[('?', 1, 3, 0), ('?', 1, 3, 0), ('?', 1, 3, 0), ('?', 1, 3, 0)]"
"(2, 7, 15, 4, 0)","[(3, 0, 0, '?'), (3, 0, 0, 2), (3, 0, 0, 1), (3, 0, 0, 3), (3, 0, 0, 1)]"
"(2, 7, 15, 15, 0)","[(3, 1, 0, 3), (3, 0, 0, 0), (3, 1, 0, 3), (3, 0, 0, '?'), (3, 0, 0, 3), (3, 1, 0, 1), (3, 1, 0, 2), (3, 0, 0, 0), (3, 1, 0, 3), (3, 0, 0, 3), (3, 0, 0, 3), (3, 1, 0, 3), (3, 0, 0, 1), (3, 0, 0, 2), (3, 0, 0, '?'), (3, 0, 0, 2), (3, 0, 0, 0), (3, 0, 0, '?'), (3, 1, 0, 2), (3, 0, 0, 2), (3, 0, 0, '?')]"
"(2, 8, 8, 8, 0)","[(2, 3, 1, 3), (2, 3, 1, 3), (2, 1, 1, '?'), (2, 3, 1, 3), (2, 3, 1, '?'), (2, 1, 3, '?'), (2, 1, 3, 1), (2, 0, 3, 2)]"
"(2, 8, 8, 12, 0)","[(2, 3, 1, '?'), (2, 3, 1, 3), (2, 3, 1, 3), (2, 3, 1, 2), (2, 3, 1, 3), (2, 3, 1, '?'), (2, 3, 1, 2), (2, 3, 1, 2), (2, 3, 1, 2)]"
"(2, 8, 12, 12, 0)","[(2, 3, 1, '?'), (2, 3, 1, 2), (2, 3, 1, 2), (2, 3, 1, 2), (2, 3, 1, 2), (2, 3, 1, '?')]"
